,Training Loss,Testing Loss,Mean Squared Training Error,Mean Squared Testing Error,% of points in Conf. Interval,% of points in Conf. Interval for Out of Distribution Data,% of points in Conf. Interval for In Distribution Data
1,-1.13137686252594,0.06023299235564012,0.06415995955467224,0.1499167296748895,88.5,91.66666666666666,85.0
2,-1.1872810125350952,0.21443303731771615,0.05494887754321098,0.14424157314575636,88.0,100.0,88.57142857142857
3,-1.5650509595870972,0.6711038018648441,0.02487555332481861,0.1566155911065065,87.0,93.33333333333333,85.71428571428571
4,-1.1793875694274902,0.799185627928147,0.03891252353787422,0.149379479770477,83.5,96.66666666666667,83.57142857142857
5,-1.2817658185958862,0.202356550269402,0.0391635000705719,0.1504047793837694,87.0,98.33333333333333,85.71428571428571
6,-1.1524578332901,0.1741120729308862,0.06839726865291595,0.14380561245175508,87.5,100.0,84.28571428571429
7,-1.4510308504104614,1.0434449922579985,0.03149767592549324,0.17411551280663565,89.5,96.66666666666667,83.57142857142857
8,-1.0927610397338867,0.16060923784971237,0.06950708478689194,0.15409163242349258,90.0,98.33333333333333,87.14285714285714
9,-1.4077450037002563,0.16010764699715835,0.05023492872714996,0.14389287479794943,87.0,98.33333333333333,82.85714285714286
10,-1.0646158456802368,0.21674135327339172,0.05811461806297302,0.1420904632944327,90.0,98.33333333333333,82.85714285714286
